GEOID,NAME,variable,B08121_001_estimate,B08121_001_moe,Total_Worked_At_Home_estimate,Total_Worked_At_Home_021_moe,Total_Married_Couple_Family_estimate,Total_Married_Couple_Family_moe,Total_PopOneRace_White_estimate,Total_PopOneRace_White_moe
42101016701,"Census Tract 167.01, Philadelphia County, Pennsylvania",B08121_001,28625,14950,0,10,143,63,17,28
42101016702,"Census Tract 167.02, Philadelphia County, Pennsylvania",B08121_001,19869,8298,22,28,152,75,161,158
42101016800,"Census Tract 168, Philadelphia County, Pennsylvania",B08121_001,25197,6919,31,44,188,75,154,143
42101016901,"Census Tract 169.01, Philadelphia County, Pennsylvania",B08121_001,30536,7138,0,10,215,99,6,11
42101016902,"Census Tract 169.02, Philadelphia County, Pennsylvania",B08121_001,23891,2470,12,18,249,95,88,108
42101017000,"Census Tract 170, Philadelphia County, Pennsylvania",B08121_001,39858,4177,26,24,213,77,522,149
42101017100,"Census Tract 171, Philadelphia County, Pennsylvania",B08121_001,27948,3745,21,33,226,84,113,105
42101017201,"Census Tract 172.01, Philadelphia County, Pennsylvania",B08121_001,31250,9491,42,44,220,87,85,68
42101017202,"Census Tract 172.02, Philadelphia County, Pennsylvania",B08121_001,23852,6543,32,53,212,97,178,229
42101017300,"Census Tract 173, Philadelphia County, Pennsylvania",B08121_001,25104,6399,32,47,136,89,127,92
42101017400,"Census Tract 174, Philadelphia County, Pennsylvania",B08121_001,22366,9090,42,37,121,54,193,137
42101017500,"Census Tract 175, Philadelphia County, Pennsylvania",B08121_001,20971,6234,54,67,310,124,2251,686
42101017601,"Census Tract 176.01, Philadelphia County, Pennsylvania",B08121_001,23646,9245,0,14,292,120,1855,530
42101017602,"Census Tract 176.02, Philadelphia County, Pennsylvania",B08121_001,20933,2187,45,46,185,61,2075,522
42101017701,"Census Tract 177.01, Philadelphia County, Pennsylvania",B08121_001,20032,6991,38,44,142,53,1249,488
42101017702,"Census Tract 177.02, Philadelphia County, Pennsylvania",B08121_001,21767,2297,45,43,250,88,1706,414
42101017800,"Census Tract 178, Philadelphia County, Pennsylvania",B08121_001,18494,6408,33,43,295,120,2556,509
42101017900,"Census Tract 179, Philadelphia County, Pennsylvania",B08121_001,23994,3253,0,14,400,161,3629,550
42101018001,"Census Tract 180.01, Philadelphia County, Pennsylvania",B08121_001,39497,6009,107,79,317,97,2408,343
42101018002,"Census Tract 180.02, Philadelphia County, Pennsylvania",B08121_001,41072,2134,14,20,685,161,5471,559
42101018300,"Census Tract 183, Philadelphia County, Pennsylvania",B08121_001,42689,4756,32,39,601,107,3961,319
42101018400,"Census Tract 184, Philadelphia County, Pennsylvania",B08121_001,40089,5982,7,9,436,61,2352,245
42101018800,"Census Tract 188, Philadelphia County, Pennsylvania",B08121_001,27264,4494,0,14,425,164,3791,763
42101019000,"Census Tract 190, Philadelphia County, Pennsylvania",B08121_001,27818,3288,0,14,523,170,3198,798
42101019100,"Census Tract 191, Philadelphia County, Pennsylvania",B08121_001,31254,2648,54,65,997,210,4134,861
42101019200,"Census Tract 192, Philadelphia County, Pennsylvania",B08121_001,19167,4254,68,88,442,156,4337,1071
42101019501,"Census Tract 195.01, Philadelphia County, Pennsylvania",B08121_001,19400,5877,36,55,247,112,1993,659
42101019502,"Census Tract 195.02, Philadelphia County, Pennsylvania",B08121_001,21140,1252,0,10,220,102,1825,619
42101019700,"Census Tract 197, Philadelphia County, Pennsylvania",B08121_001,19688,6525,103,136,483,145,1326,519
42101019800,"Census Tract 198, Philadelphia County, Pennsylvania",B08121_001,19023,2986,75,48,537,147,1269,438
42101019900,"Census Tract 199, Philadelphia County, Pennsylvania",B08121_001,17518,2713,26,24,204,76,1038,409
42101020000,"Census Tract 200, Philadelphia County, Pennsylvania",B08121_001,22250,9418,6,12,123,53,50,56
42101020101,"Census Tract 201.01, Philadelphia County, Pennsylvania",B08121_001,20655,7734,0,10,111,65,127,101
42101020102,"Census Tract 201.02, Philadelphia County, Pennsylvania",B08121_001,30154,4465,34,51,186,71,8,10
42101020200,"Census Tract 202, Philadelphia County, Pennsylvania",B08121_001,25425,4368,0,10,302,139,216,117
